18:59:45.717 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
18:59:45.719 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
18:59:45.720 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
18:59:50.956 [http-nio-8080-exec-3] INFO  com.stock.web.AuthController - user login -> grace
19:00:00.096 [http-nio-8080-exec-4] INFO  c.s.security.JwtAuthenticationFilter - [grace] -> /company
19:00:09.547 [http-nio-8080-exec-5] INFO  c.s.security.JwtAuthenticationFilter - [grace] -> /company
19:00:16.788 [http-nio-8080-exec-6] INFO  c.s.security.JwtAuthenticationFilter - [grace] -> /company
19:02:02.765 [http-nio-8080-exec-8] INFO  com.stock.web.AuthController - user login -> reader
19:02:11.857 [http-nio-8080-exec-9] INFO  c.s.security.JwtAuthenticationFilter - [reader] -> /company
19:02:24.446 [http-nio-8080-exec-2] INFO  c.s.security.JwtAuthenticationFilter - [grace] -> /company
19:03:21.624 [http-nio-8080-exec-5] INFO  c.s.security.JwtAuthenticationFilter - [reader] -> /company/NNN
19:13:56.840 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
19:13:56.842 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
19:13:56.846 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
